"","Bloomfield.Road","Union.Street","Vicarage.Road","Elizabeth.Street","Bostall.Lane","Plum.Lane","Slade","Burrage.Grove","Timbercroft.Road","High.Street","Mulgrave.Place","Purrett.Road","All.Saints","Conway.Road","Wood.Street","Eglinton.Road","Central","Earl.Street","week"
"1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2",0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"3",1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"4",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5",0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"6",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"7",1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"8",2,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9",0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"10",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"11",26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
"12",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,12
"13",20,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,1,13
"14",10,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,14
"15",3,0,0,0,0,4,0,1,1,0,0,0,3,0,0,0,0,0,15
"16",2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,16
"17",0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,6,2,0,17
"18",1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,1,18
"19",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,19
"20",0,0,1,0,0,0,1,0,0,0,2,21,0,1,0,20,2,0,20
"21",0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,5,0,21
"22",1,0,2,0,0,0,2,0,0,0,1,44,0,0,1,2,2,0,22
"23",1,0,8,4,0,0,1,0,0,0,0,3,0,2,0,1,0,0,23
"24",0,0,21,5,1,0,0,0,0,12,0,0,0,2,6,0,1,0,24
"25",0,0,4,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,25
"26",0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,26
"27",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27
